model,accuracy,precision,recall,f1_score
logistic_regression,0.8977109366360722,0.630648330058939,0.30340264650283555,0.4097000638162093
random_forest,0.9060046444763906,0.6661341853035144,0.3941398865784499,0.49524940617577196
knn,0.8823399314386818,0.4944852941176471,0.2542533081285444,0.3358302122347066
svm,0.8828928452947031,0.47619047619047616,0.00945179584120983,0.018535681186283594
naive_bayes,0.8584540528585647,0.4171641791044776,0.5283553875236295,0.4662218515429525
